Source,Target,Weight
ROBERT,TOMMEN,4
RODRIK_CASSEL,TYWIN,2
SANSA,STANNIS,8
STANNIS,TOMARD,2
THEON,WILL,2
TYRION,TYSHA,2
TYRION,VARYS,397
ARYA,JAQEN,346
DAVOS,STANNIS,316
JON,YGRITTE,286
ROBB,TALISA,197
ARYA,TYWIN,103
THEON,YARA,210
DAENERYS,XARO,80
JON,QHORIN,73
SANSA,SHAE,122
DAENERYS,SPICE_KING,58
DAVOS,MATTHOS,59
MELISANDRE,STANNIS,171
BRIENNE,CATELYN,71
BRIENNE,JAIME,276
PYCELLE,TYRION,64
DAGMER,THEON,48
ALTON,JAIME,46
DAVOS,MELISANDRE,173
JANOS,TYRION,39
LORAS,TYRION,51
LANCEL,TYRION,37
PODRICK,TYRION,168
MARGAERY,RENLY,39
EDDISON_TOLLETT,SAM,42
ROBB,ROOSE_BOLTON,51
BRIENNE,RENLY,39
DAENERYS,KOVARRO,31
CATELYN,RENLY,30
CRASTER,JEOR,46
LITTLEFINGER,MARGAERY,28
QHORIN,YGRITTE,28
DAVOS,SALLADHOR,69
EDDISON_TOLLETT,GRENN,39
CERSEI,TOMMEN,160
SANSA,TYRION,163
GILLY,SAM,381
DAENERYS,PYATT_PREE,23
LORAS,MARGAERY,115
RODRIK,THEON,23
ALTON,ROBB,22
ROS,VARYS,47
BLACK_LORREN,THEON,21
CERSEI,SHAE,28
MATTHOS,STANNIS,21
SPICE_KING,XARO,20
STANNIS,TYRION,20
BRAN,RODRIK,20
JORAH,QUAITHE,18
CAPTAINS_DAUGHTER,THEON,17
CATELYN,RICKARD_KARSTARK,22
CRASTER,JON,28
DAISY,ROS,17
AMORY,ARYA,16
ARYA,RORGE,20
CRESSEN,DAVOS,16
HODOR,RICKON,25
RATTLESHIRT,YGRITTE,16
BALON,YARA,49
JORAH,KOVARRO,15
AMORY,TYWIN,14
MATTHOS,SALLADHOR,14
BRONN,HOUND,16
CATELYN,STANNIS,13
DONTOS,JOFFREY,19
DOREAH,XARO,13
HAYLENE,TYRION,13
JEOR,QHORIN,13
JOFFREY,MERYN,15
MERYN,TYRION,19
CERSEI,MYRCELLA,34
DAVOS,RENLY,12
JOFFREY,LANCEL,12
JON,RATTLESHIRT,12
JORAH,XARO,12
MOUNTAIN,TYWIN,20
BRONN,VARYS,16
CATELYN,TALISA,44
CERSEI,JANOS,11
SHAE,VARYS,33
BRONN,HAYLENE,10
